"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 26 16:31:51 IST 2021","Fri Mar 26 16:31:54 IST 2021","3133","","Sample Test Suite1","","Sample Test Suite1","Test1","Test1","Start Assertion"
"failed","Fri Mar 26 16:31:54 IST 2021","Fri Mar 26 16:31:57 IST 2021","2774","","Sample Test Suite1","","Sample Test Suite1","Test2","Test2",""
"passed","Fri Mar 26 16:27:19 IST 2021","Fri Mar 26 16:27:23 IST 2021","3299","","Sample Test Suite","","Sample Test Suite","Test1","Test1","Start Assertion"
"failed","Fri Mar 26 16:27:23 IST 2021","Fri Mar 26 16:27:26 IST 2021","2953","","Sample Test Suite","","Sample Test Suite","Test2","Test2",""
"failed","Fri Mar 26 16:31:48 IST 2021","Fri Mar 26 16:31:51 IST 2021","2723","","Sample Test Suite2","","Sample Test Suite2","Test4","Test4",""
"passed","Fri Mar 26 16:31:45 IST 2021","Fri Mar 26 16:31:48 IST 2021","3125","","Sample Test Suite2","","Sample Test Suite2","Test3","Test3","Start Assertion"
